Date,Open,High,Low,Close,Adj Close,Volume
1/29/1993,43.9687,43.9687,43.75,43.9375,27.466887,1003200
2/1/1993,43.9687,44.25,43.9687,44.25,27.662252,480500
2/2/1993,44.2187,44.375,44.125,44.3437,27.720823,201300
2/3/1993,44.4062,44.8437,44.375,44.8125,28.013882,529400
2/4/1993,44.9687,45.0937,44.4687,45,28.13109,531500
2/5/1993,44.9687,45.0625,44.7187,44.9687,28.111523,492100
2/8/1993,44.9687,45.125,44.9062,44.9687,28.111523,596100
2/9/1993,44.8125,44.8125,44.5625,44.6562,27.916172,122100
2/10/1993,44.6562,44.75,44.5312,44.7187,27.955238,379600
2/11/1993,44.7812,45.125,44.7812,44.9375,28.092035,19500
2/12/1993,44.875,44.875,44.5937,44.5937,27.877092,42500
2/16/1993,44.4687,44.4687,43.4062,43.4687,27.173828,374800
2/17/1993,43.4687,43.5312,43.2812,43.4375,27.154329,210900
2/18/1993,43.9375,43.9375,42.8125,43.4062,27.134754,378100
2/19/1993,43.4062,43.5625,43.3437,43.5625,27.232456,34900
2/22/1993,43.6875,43.7812,43.5625,43.7187,27.330091,513600
2/23/1993,43.8437,43.875,43.4687,43.6875,27.310616,373700
2/24/1993,43.7187,44.25,43.7187,44.25,27.662252,26300
2/25/1993,44.2187,44.375,44.125,44.3437,27.720823,44500
2/26/1993,44.4375,44.4375,44.1875,44.4062,27.759888,66200
3/1/1993,44.5625,44.5625,44.2187,44.2812,27.681738,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,28.092035,182400
3/3/1993,45,45.1562,44.9375,45.125,28.209244,280100
3/4/1993,45.1875,45.1875,44.875,44.875,28.052954,89500
3/5/1993,44.9375,45.125,44.7187,44.75,27.974813,40000
3/8/1993,44.8437,45.75,44.8437,45.75,28.599939,50800
3/9/1993,45.6562,45.6875,45.5,45.5937,28.502234,169300
3/10/1993,45.5937,45.6875,45.4062,45.6875,28.560865,194400
3/11/1993,45.7187,45.8437,45.5,45.5625,28.482754,70900
3/12/1993,45.1875,45.2187,44.8125,45.0937,28.189665,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,28.326454,310800
